小辛🐉央卫4k频道1⃣,#genre#
陕西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
东南卫视,http://38.75.136.137:98/gslb/dsdqpub/dnwshd.m3u8?auth=testpub
中国气象,http://38.75.136.137:98/gslb/dsdqpub/zgqx.m3u8?auth=testpub
小辛🐉直播频道3⃣,#genre#
小辛♻️CCTV1,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv1&zy.m3u8@0@1@@token@user_agent@CCTV1综合
小辛♻️CCTV2,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv2&zy.m3u8@0@1@@token@user_agent@CCTV2财经
小辛♻️CCTV3,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv3&zy.m3u8@0@1@@token@user_agent@CCTV3综艺
小辛♻️CCTV4,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4&zy.m3u8@0@1@@token@user_agent@CCTV4中文国际
小辛♻️CCTV5,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5&zy.m3u8@0@1@@token@user_agent@CCTV5体育
小辛♻️CCTV5体育,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5p&zy.m3u8@0@1@@token@user_agent@CCTV5+体育赛事
小辛♻️CCTV6,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv6&zy.m3u8@0@1@@token@user_agent@CCTV6电影
小辛♻️CCTV7,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv7&zy.m3u8@0@1@@token@user_agent@CCTV7国防军事
小辛♻️CCTV8,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv8&zy.m3u8@0@1@@token@user_agent@CCTV8电视剧
小辛♻️CCTV9,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv9&zy.m3u8@0@1@@token@user_agent@CCTV9纪录
小辛♻️CCTV10,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv10&zy.m3u8@0@1@@token@user_agent@CCTV10科教
CCTV1,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv1&zy.m3u8@0@1@@token@user_agent@CCTV1综合
CCTV2,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv2&zy.m3u8@0@1@@token@user_agent@CCTV2财经
CCTV3,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv3&zy.m3u8@0@1@@token@user_agent@CCTV3综艺
CCTV4,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4&zy.m3u8@0@1@@token@user_agent@CCTV4中文国际
CCTV5,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5&zy.m3u8@0@1@@token@user_agent@CCTV5体育
CCTV5+,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5p&zy.m3u8@0@1@@token@user_agent@CCTV5+体育赛事
CCTV6,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv6&zy.m3u8@0@1@@token@user_agent@CCTV6电影
CCTV7,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv7&zy.m3u8@0@1@@token@user_agent@CCTV7国防军事
CCTV8,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv8&zy.m3u8@0@1@@token@user_agent@CCTV8电视剧
CCTV9,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv9&zy.m3u8@0@1@@token@user_agent@CCTV9纪录
CCTV10,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv10&zy.m3u8@0@1@@token@user_agent@CCTV10科教
CCTV11,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv11&zy.m3u8@0@1@@token@user_agent@CCTV11戏曲
CCTV12,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv12&zy.m3u8@0@1@@token@user_agent@CCTV12社会与法
CCTV13,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv13&zy.m3u8@0@1@@token@user_agent@CCTV13新闻
CCTV14,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv14&zy.m3u8@0@1@@token@user_agent@CCTV14少儿
CCTV15,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv15&zy.m3u8@0@1@@token@user_agent@CCTV15音乐
CCTV16,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv16&zy.m3u8@0@1@@token@user_agent@CCTV16奥林匹克
CCTV17,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv17&zy.m3u8@0@1@@token@user_agent@CCTV17农业农村
CCTV4K,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4k&zy.m3u8@0@1@@token@user_agent@CCTV4K
CCTV8K,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv8k&zy.m3u8@0@1@@token@user_agent@CCTV8K
CCTV4欧洲,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4oz&zy.m3u8@0@1@@token@user_agent@CCTV4欧洲
CCTV4美洲,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4mz&zy.m3u8@0@1@@token@user_agent@CCTV4美洲
CGTN外语记录,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cgtnwyjl&zy.m3u8@0@1@@token@user_agent@CGTN外语记录
CGTN阿拉伯语,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cgtnalby&zy.m3u8@0@1@@token@user_agent@CGTN阿拉伯语
CGTN西班牙语,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cgtnxbyy&zy.m3u8@0@1@@token@user_agent@CGTN西班牙语
CGTN法语,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cgtnfy&zy.m3u8@0@1@@token@user_agent@CGTN法语
CGTN俄语,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cgtney&zy.m3u8@0@1@@token@user_agent@CGTN俄语
CGTN,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cgtn&zy.m3u8@0@1@@token@user_agent@CGTN
CCTV风云剧场,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctvfyjcpd&zy.m3u8@0@1@@token@user_agent@CCTV风云剧场
CCTV第一剧场,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctvdyjcpd&zy.m3u8@0@1@@token@user_agent@CCTV第一剧场
CCTV怀旧剧场,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctvhjjcpd&zy.m3u8@0@1@@token@user_agent@CCTV怀旧剧场
浙江卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=zjws&zy.m3u8@0@1@@token@user_agent@浙江卫视
北京卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=bjws&zy.m3u8@0@1@@token@user_agent@北京卫视
湖南卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=hunws&zy.m3u8@0@1@@token@user_agent@湖南卫视
江苏卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=jsws&zy.m3u8@0@1@@token@user_agent@江苏卫视
山东卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=sdws&zy.m3u8@0@1@@token@user_agent@山东卫视
广东卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=gdws&zy.m3u8@0@1@@token@user_agent@广东卫视
安徽卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=ahws&zy.m3u8@0@1@@token@user_agent@安徽卫视
上海东方卫视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=dfws&zy.m3u8@0@1@@token@user_agent@东方卫视
上海新闻综合,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=shxwzh&zy.m3u8@0@1@@token@user_agent@上海新闻综合
上海新纪实,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=shxjs&zy.m3u8@0@1@@token@user_agent@上海新纪实
上海魔都眼,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=shmdy&zy.m3u8@0@1@@token@user_agent@上海魔都眼
上海第一财经,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=shdycj&zy.m3u8@0@1@@token@user_agent@上海第一财经
上海都市频道,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=shdspd&zy.m3u8@0@1@@token@user_agent@上海都市频道
上海五星体育,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=shwxty&zy.m3u8@0@1@@token@user_agent@上海五星体育
上海生活时尚,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=shss&zy.m3u8@0@1@@token@user_agent@上海生活时尚
上海教育,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=shjy&zy.m3u8@0@1@@token@user_agent@上海教育
上视东方影视,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=ssdfys&zy.m3u8@0@1@@token@user_agent@上视东方影视
东方财经,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=dfcj&zy.m3u8@0@1@@token@user_agent@东方财经
小辛🐉稳定央卫,#genre#
C1,http://222.85.198.92:8000/hls/1/index.m3u8
C2,http://222.85.198.92:8000/hls/2/index.m3u8
C3,http://222.85.198.92:8000/hls/3/index.m3u8
C4,http://222.85.198.92:8000/hls/4/index.m3u8
C5,http://222.85.198.92:8000/hls/5/index.m3u8
C6,http://222.85.198.92:8000/hls/6/index.m3u8
C7,http://222.85.198.92:8000/hls/7/index.m3u8
C8,http://222.85.198.92:8000/hls/8/index.m3u8
C9,http://222.89.29.232:808/hls/9/index.m3u8
C10,http://222.85.198.92:8000/hls/9/index.m3u8
C11,http://222.85.198.92:8000/hls/10/index.m3u8
C12,http://222.85.198.92:8000/hls/11/index.m3u8
C13,http://222.85.198.92:8000/hls/12/index.m3u8
C14,http://222.85.198.92:8000/hls/13/index.m3u8
C15,http://222.85.198.92:8000/hls/14/index.m3u8
C17,http://222.85.198.92:8000/hls/15/index.m3u8
北京,http://222.85.198.92:8000/hls/29/index.m3u8
湖南,http://222.85.198.92:8000/hls/17/index.m3u8
四川,http://222.85.198.92:8000/hls/46/index.m3u8
河南,http://222.85.198.92:8000/hls/27/index.m3u8
安徽,http://222.85.198.92:8000/hls/20/index.m3u8
贵州,http://222.85.198.92:8000/hls/16/index.m3u8
江苏,http://222.85.198.92:8000/hls/19/index.m3u8
浙江,http://222.85.198.92:8000/hls/18/index.m3u8
山东,http://222.85.198.92:8000/hls/43/index.m3u8
云南,http://222.85.198.92:8000/hls/35/index.m3u8
江西,http://222.85.198.92:8000/hls/44/index.m3u8
龙江,http://222.85.198.92:8000/hls/45/index.m3u8
C1,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv1
C2,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv2
C3,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3
C4,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv4
C5,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5
C5+,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p
C6,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv6
C7,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv7
C8,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv8
C9,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv9
C10,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv10
C11,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv11
C12,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv12
C13,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv13
C14,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv14
C15,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv15
C16,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv16
C17,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv17
重温经典,https://cdn13.178.indevs.in/163189/21d79187db6e9793
五星体育,https://cdn15.163189.xyz/163189/9c893bb003e1c7de
CHC家庭,https://cdn13.178.indevs.in/163189/adafdc2e9ef83fe0
CHC动作,https://cdn13.178.indevs.in/163189/32a810b251717bd0
广州综合,https://cdn13.178.indevs.in/163189/b13471c5de99d1c7
广州新闻,https://cdn13.178.indevs.in/163189/609602b1e1048784
南国都市,https://cdn15.163189.xyz/163189/90871926591ebcb
经典电影,https://cdn12.178.indevs.in/163189/61b8ea35ffce4630

小辛🐉酒店央卫源,#genre#
CCTV1,http://223.75.149.129:9906/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://113.241.133.223:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://zgxsd.f3322.net:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV1,http://120.233.73.4:19901/tsfile/live/1020_1.m3u8?key=txiptv
CCTV1,http://113.141.220.47:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV2,http://223.75.149.129:9906/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://zgxsd.f3322.net:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV2,http://120.233.73.4:19901/tsfile/live/1028_1.m3u8?key=txiptv
CCTV2,http://113.141.220.47:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://61.178.227.57:9901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV3,http://223.75.149.129:9906/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://113.241.133.223:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://zgxsd.f3322.net:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV3,http://113.141.220.47:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://61.178.227.57:9901/tsfile/live/0003_1.m3u8?key=txiptv
CCTV4,http://223.75.149.129:9906/tsfile/live/0004_1.m3u8?key=txiptv
CCTV4,http://zgxsd.f3322.net:9901/tsfile/live/1008_1.m3u8?key=txiptv
CCTV4,http://120.233.73.4:19901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV4,http://113.141.220.47:9901/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://223.75.149.129:9906/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://113.241.133.223:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://zgxsd.f3322.net:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV5,http://61.178.227.57:9901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5+,http://113.241.133.223:9901/tsfile/live/0016_1.m3u8?key=txiptv
CCTV5+,http://zgxsd.f3322.net:9901/tsfile/live/1010_1.m3u8?key=txiptv
CCTV5+,http://61.178.227.57:9901/tsfile/live/0141_1.m3u8?key=txiptv
CCTV6,http://223.75.149.129:9906/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://113.241.133.223:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://zgxsd.f3322.net:9901/tsfile/live/1011_1.m3u8?key=txiptv
CCTV6,http://113.141.220.47:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://61.178.227.57:9901/tsfile/live/0006_1.m3u8?key=txiptv
CCTV7,http://223.75.149.129:9906/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://zgxsd.f3322.net:9901/tsfile/live/1012_1.m3u8?key=txiptv
CCTV7,http://120.233.73.4:19901/tsfile/live/1017_1.m3u8?key=txiptv
CCTV7,http://113.141.220.47:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://61.178.227.57:9901/tsfile/live/0007_1.m3u8?key=txiptv
CCTV8,http://223.75.149.129:9906/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://113.241.133.223:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://zgxsd.f3322.net:9901/tsfile/live/1013_1.m3u8?key=txiptv
CCTV8,http://113.141.220.47:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV8,http://61.178.227.57:9901/tsfile/live/0008_1.m3u8?key=txiptv
CCTV9,http://223.75.149.129:9906/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://zgxsd.f3322.net:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV9,http://120.233.73.4:19901/tsfile/live/1031_1.m3u8?key=txiptv
CCTV9,http://113.141.220.47:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://61.178.227.57:9901/tsfile/live/0009_1.m3u8?key=txiptv
CCTV10,http://223.75.149.129:9906/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://113.241.133.223:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://zgxsd.f3322.net:9901/tsfile/live/1015_1.m3u8?key=txiptv
CCTV10,http://120.233.73.4:19901/tsfile/live/1032_1.m3u8?key=txiptv
CCTV10,http://113.141.220.47:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV10,http://61.178.227.57:9901/tsfile/live/0010_1.m3u8?key=txiptv
CCTV11,http://223.75.149.129:9906/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://zgxsd.f3322.net:9901/tsfile/live/1016_1.m3u8?key=txiptv
CCTV11,http://113.141.220.47:9901/tsfile/live/0011_1.m3u8?key=txiptv
CCTV12,http://223.75.149.129:9906/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://zgxsd.f3322.net:9901/tsfile/live/1017_1.m3u8?key=txiptv
CCTV12,http://120.233.73.4:19901/tsfile/live/1033_1.m3u8?key=txiptv
CCTV12,http://113.141.220.47:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://61.178.227.57:9901/tsfile/live/0012_1.m3u8?key=txiptv
CCTV13,http://223.75.149.129:9906/tsfile/live/0013_1.m3u8?key=txiptv
CCTV13,http://zgxsd.f3322.net:9901/tsfile/live/1018_1.m3u8?key=txiptv
CCTV13,http://61.178.227.57:9901/tsfile/live/0013_1.m3u8?key=txiptv
CCTV14,http://223.75.149.129:9906/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://113.241.133.223:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://zgxsd.f3322.net:9901/tsfile/live/1019_1.m3u8?key=txiptv
CCTV14,http://113.141.220.47:9901/tsfile/live/0014_1.m3u8?key=txiptv
CCTV14,http://61.178.227.57:9901/tsfile/live/1004_1.m3u8?key=txiptv
CCTV15,http://223.75.149.129:9906/tsfile/live/0015_1.m3u8?key=txiptv
